,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,uri
0,All Too Well,0.602,0.609,0,-7.803,1,0.0243,0.0382,0.0002,0.127,0.337,93.06,327893,spotify:track:1q3RiD1tIWUpGsNFADMlvl
1,Clean,0.815,0.377,4,-7.754,1,0.0346,0.232,0.0,0.1,0.211,103.97,271000,spotify:track:4bXCcoesMt8u99xMsbLr9U
2,hoax,0.662,0.181,8,-15.065,1,0.0415,0.966,3.86e-06,0.133,0.429,118.819,220043,spotify:track:6MWoRt97mnSTXZhu3ggi9C
3,Lover,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,221307,spotify:track:1dGr1c8CrMLDpV6mPbImSI
4,Blank Space,0.752,0.678,5,-5.421,1,0.0646,0.085,1.64e-06,0.13,0.583,96.009,231827,spotify:track:1p80LdxRV74UKvL8gnD7ky
5,‘tis the damn season,0.575,0.434,5,-8.193,1,0.0312,0.735,6.59e-05,0.105,0.348,145.916,229840,spotify:track:6sQckd3Z8NPxVVKUnavY1F
6,We Are Never Ever Getting Back Together,0.628,0.676,7,-5.911,1,0.0916,0.00957,2.65e-05,0.102,0.75,85.984,191880,spotify:track:7AEAGTc8cReDqcbPoY9gwo
7,marjorie,0.535,0.561,5,-11.609,1,0.0484,0.876,0.000136,0.115,0.287,96.103,257773,spotify:track:5uICWmZTLkpEVbK22PBP6e
8,Delicate,0.75,0.404,9,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,232253,spotify:track:6NFyWDv5CjfwuzoCkw47Xf
9,State Of Grace,0.588,0.825,4,-5.882,1,0.0328,0.000197,0.00138,0.0885,0.397,129.968,295187,spotify:track:5zyCYmiaVE5y26EZuwZbsw
10,All You Had To Do Was Stay,0.605,0.725,5,-5.729,1,0.0323,0.00201,2.02e-05,0.101,0.539,96.97,193293,spotify:track:0lmMtDQ2ElasKU2qDAE6NN
11,New Romantics,0.633,0.889,5,-5.87,1,0.0715,0.00463,0.000458,0.0658,0.584,121.956,230467,spotify:track:6rZVy6FIG7lSJQMFXHo12z
12,evermore (feat. Bon Iver),0.39,0.27,1,-10.673,1,0.0308,0.937,0.00227,0.111,0.32,125.177,304107,spotify:track:3O5osWf1rSoKMwe6E9ZaXP
13,Cruel Summer,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr
14,august,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,261923,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K
15,Fearless (Taylor’s Version),0.569,0.741,5,-4.963,1,0.0282,0.0122,0.0,0.333,0.43,100.118,241592,spotify:track:77sMIMlNaSURUAXq5coCxE
16,Holy Ground,0.627,0.816,4,-6.698,1,0.0774,0.0162,0.00208,0.0966,0.648,157.043,201853,spotify:track:5d2Kn9oAAh9S2EbyCo1i52
17,coney island (feat. The National),0.537,0.537,8,-11.266,1,0.0617,0.819,0.000904,0.142,0.292,107.895,275320,spotify:track:2awNGIJHodfLZSClB3PYhz
18,The Story Of Us,0.543,0.818,4,-3.611,1,0.0398,0.00478,0.000368,0.0357,0.683,139.898,265667,spotify:track:3RBluWmSoG2pGA1OePzGJI
19,right where you left me - bonus track,0.581,0.619,10,-6.524,1,0.0282,0.769,0.000106,0.117,0.645,137.915,245027,spotify:track:3zwMVvkBe2qIKDObWgXw4N
20,invisible string,0.653,0.452,4,-11.143,0,0.055,0.838,7.73e-05,0.108,0.45,83.433,252881,spotify:track:6VsvKPJ4xjVNKpI8VVZ3SV
21,Mean,0.568,0.761,4,-3.987,1,0.0459,0.452,0.0,0.217,0.789,163.974,237733,spotify:track:5yEPktRqvIhko5QFF3aBhQ
22,ivy,0.515,0.545,2,-9.277,1,0.0353,0.855,1.97e-05,0.0921,0.535,88.856,260440,spotify:track:19CSr8rwW05VJL2F91KFNK
23,betty,0.593,0.377,0,-8.761,1,0.0253,0.6,0.0,0.0976,0.502,95.939,294521,spotify:track:5kI4eCXXzyuIUXjQra0Cxi
24,seven,0.596,0.488,4,-10.769,1,0.0274,0.9,2.7e-05,0.091,0.415,94.926,208907,spotify:track:6KJqZcs9XDgVck7Lg9QOTC
25,You’re Not Sorry (Taylor’s Version),0.506,0.444,6,-4.99,1,0.0285,0.0538,0.0,0.123,0.241,133.873,261843,spotify:track:6iiAfo4wTA2CVC3Uwx9uh8
26,my tears ricochet,0.456,0.263,0,-10.63,1,0.0332,0.806,0.0,0.0749,0.111,129.86,255894,spotify:track:1MgV7FIyNxIG7WzMRJV5HC
27,cardigan,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,239560,spotify:track:4R2kfaDFhslZEMJqAFNpdd
28,I Knew You Were Trouble.,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-06,0.0398,0.679,77.019,217973,spotify:track:72jCZdH0Lhg93z6Z4hBjgj
29,the lakes - bonus track,0.313,0.258,2,-11.532,1,0.0383,0.842,1.3e-06,0.0948,0.268,179.947,211813,spotify:track:0eFQWVz0qIxDOvhLpZ40P7
30,Dress,0.719,0.469,0,-8.792,1,0.0533,0.0329,0.0,0.169,0.0851,120.085,230373,spotify:track:6oVxXO5oQ4pTpO8RSnkzvv
31,Forever & Always (Taylor’s Version),0.598,0.821,10,-4.433,1,0.0447,0.0231,0.0,0.143,0.673,128.03,225328,spotify:track:1msEuwSBneBKpVCZQcFTsU
32,the last great american dynasty,0.688,0.653,7,-8.558,1,0.0403,0.481,0.00414,0.106,0.701,147.991,231000,spotify:track:2olxzvoFI9IpxqFeUv7WOX
33,The Archer,0.292,0.574,0,-9.375,1,0.0401,0.12,0.00569,0.0663,0.166,124.344,211240,spotify:track:3pHkh7d0lzM2AldUtz2x37
34,willow,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112,214707,spotify:track:0lx2cLdOt3piJbcaXIV74f
35,You Belong With Me (Taylor’s Version),0.632,0.773,6,-4.856,1,0.0346,0.0623,0.0,0.0885,0.474,130.033,231124,spotify:track:1qrpoAMXodY6895hGKoUpA
36,exile (feat. Bon Iver),0.31,0.374,6,-8.464,1,0.0275,0.761,2.46e-05,0.11,0.16,75.938,285640,spotify:track:5S4aYQAJOwJMAamANWlICO
37,dorothea,0.605,0.488,4,-8.322,1,0.0264,0.696,0.0,0.129,0.354,119.966,225880,spotify:track:66tOfHVH3aUrscg8vExRV4
38,Style,0.588,0.791,7,-5.595,1,0.0402,0.00245,0.00258,0.118,0.487,94.933,231000,spotify:track:1fo2ctLqj3zBhRQKOXprol
39,Getaway Car,0.562,0.689,2,-6.745,1,0.127,0.00465,2.23e-06,0.0888,0.351,172.054,233627,spotify:track:0VE4kBnHJUgtMf0dy6DRmW
40,Mine,0.624,0.757,7,-2.94,1,0.0296,0.00265,1.87e-06,0.189,0.658,121.07,230707,spotify:track:0dBW6ZsW8skfvoRfgeerBF
41,Paper Rings,0.811,0.719,9,-6.553,1,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979,222400,spotify:track:4y5bvROuBDPr5fuwXbIBZR
42,New Year’s Day,0.661,0.151,0,-12.864,1,0.0354,0.921,0.0,0.13,0.23,94.922,235467,spotify:track:7F5oktn5YOsR9eR5YsFtqb
43,peace,0.647,0.272,5,-12.906,1,0.0916,0.918,1.73e-05,0.0918,0.339,150.044,234000,spotify:track:7MbT4I8qGntX4fMdqMQgke
44,It’s Nice To Have A Friend,0.737,0.175,10,-9.912,1,0.0401,0.971,0.000337,0.171,0.545,70.008,150440,spotify:track:1SmiQ65iSAbPto6gPFlBYm
45,the 1,0.777,0.357,0,-6.942,1,0.0522,0.757,7.28e-06,0.108,0.172,139.883,210252,spotify:track:0Jlcvv8IykzHaSmj49uNW8
46,Miss Americana & The Heartbreak Prince,0.662,0.747,11,-6.926,0,0.0736,0.028,0.00615,0.138,0.487,150.088,234147,spotify:track:214nt20w5wOxJnY462klLw
47,closure,0.689,0.704,9,-10.813,1,0.245,0.835,4.83e-06,0.134,0.92,151.884,180653,spotify:track:35rdVq36LMHQX0Suw9a6tK
48,long story short,0.546,0.73,0,-7.704,1,0.0417,0.66,0.179,0.0972,0.573,157.895,215920,spotify:track:5VYWxXUpxuxEmCqMLDqICo
49,"no body, no crime (feat. HAIM)",0.547,0.613,7,-7.577,0,0.0264,0.431,0.0,0.102,0.528,79.011,215627,spotify:track:257CUonahBouFWEhouuLYQ
50,epiphany,0.354,0.267,1,-13.69,1,0.0281,0.731,0.000402,0.0858,0.113,94.219,289749,spotify:track:08fa9LFcFBTcilB3iq2e2A
51,it’s time to go - bonus track,0.592,0.41,0,-12.426,1,0.0397,0.801,1.39e-05,0.09,0.416,151.923,254640,spotify:track:1kdWw77ZpYOkhxeuhzU1j6
52,Teardrops On My Guitar - Radio Single Remix,0.621,0.417,10,-6.941,1,0.0231,0.288,0.0,0.119,0.289,99.953,203040,spotify:track:7zMcNqs55Mxer82bvZFkpg
53,happiness,0.559,0.334,11,-10.733,1,0.0376,0.87,0.0,0.114,0.211,122.079,315147,spotify:track:73YUReisjb3A9ActdLLjJQ
54,Come Back...Be Here,0.483,0.548,4,-6.291,1,0.0254,0.00471,2.01e-06,0.0997,0.217,79.926,222707,spotify:track:4qyalTRMRH5YuEntvvMvq0
55,Wildest Dreams,0.55,0.688,8,-7.416,1,0.0897,0.0692,0.00144,0.106,0.465,139.997,220440,spotify:track:106R7Z57WYzBAfrXImV30y
56,Forever Winter (Taylor's Version) (From The Vault),0.611,0.552,7,-5.828,1,0.031,0.256,0.0,0.134,0.41,116.012,263533,spotify:track:3oGVx9RBmiYGv5ZCecWLkx
57,22,0.658,0.729,7,-6.561,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,230133,spotify:track:3bIxTsfeNMO7Nt2J3EUKrA
58,Soon You’ll Get Better (feat. The Chicks),0.433,0.182,0,-12.566,1,0.0641,0.907,0.0,0.123,0.421,207.476,201587,spotify:track:4AYtqFyFbX0Xkc2wtcygTr
59,The Way I Loved You (Taylor’s Version),0.402,0.732,5,-4.665,1,0.0484,0.0033,0.0,0.108,0.472,161.032,243137,spotify:track:22bPsP2jCgbLUvh82U0Z3M
60,Don’t You (Taylor’s Version) (From The Vault),0.563,0.473,3,-11.548,1,0.0503,0.514,1.2e-05,0.109,0.405,101.934,208609,spotify:track:4uuEGH5SVuzkkSFjo2DEiY
61,Long Live,0.418,0.68,7,-4.3,1,0.0347,0.036,7.59e-05,0.114,0.142,204.12,317453,spotify:track:7DjCRhhFo9PPzca1BjMLcf
62,Red,0.602,0.896,1,-4.267,0,0.0437,0.0773,8.87e-05,0.091,0.641,124.978,220827,spotify:track:1RvQQGwaPipiNgz8RXAKA8
63,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),0.66,0.817,11,-6.269,0,0.0521,0.162,0.0,0.0667,0.714,135.942,277592,spotify:track:2CYVETnhM9aytqrazYYwrK
64,Sad Beautiful Tragic,0.624,0.34,7,-12.411,1,0.029,0.632,0.0337,0.121,0.261,129.987,283680,spotify:track:5QKhg4r4Ibt0LVTmWEXTEg
65,Enchanted,0.455,0.623,8,-3.878,1,0.0288,0.0739,0.000424,0.146,0.208,163.893,352187,spotify:track:14LtANuaslKWyYbktUrHBU
66,This Love,0.481,0.435,4,-8.795,1,0.0321,0.678,0.0,0.0928,0.107,143.95,250093,spotify:track:1kTPQnabROVkW9bUXdCGrB
67,mad woman,0.592,0.699,3,-8.995,1,0.0471,0.655,1.68e-05,0.114,0.506,141.916,237258,spotify:track:2QDyYdZyhlP2fp79KZX8Bi
68,Fifteen (Taylor’s Version),0.559,0.646,7,-4.61,1,0.0272,0.116,0.0,0.32,0.289,95.466,294419,spotify:track:2nqio0SfWg6gh2eCtfuMa5
69,Begin Again,0.53,0.526,7,-8.349,1,0.0263,0.199,3.52e-06,0.232,0.323,79.025,237613,spotify:track:48A0aShHlovDfTMucMrE66
70,Out Of The Woods,0.553,0.841,7,-6.937,1,0.0396,0.000743,1.19e-05,0.341,0.338,92.008,235800,spotify:track:6Nde5KuTXyB7jlPO4upaBo
71,tolerate it,0.316,0.361,9,-10.381,1,0.0488,0.878,2.67e-05,0.0797,0.221,74.952,245440,spotify:track:0PurA4JVJ8YQgSVopY8fn6
72,I Wish You Would,0.653,0.893,0,-5.966,1,0.0538,0.0158,4.95e-05,0.102,0.513,118.035,207440,spotify:track:1B5VzXPqMlvRw0U4HJY3dJ
73,Better Than Revenge,0.516,0.917,11,-3.186,0,0.0827,0.0139,6.37e-06,0.36,0.635,145.821,217160,spotify:track:1By2VQkUN0Frd8mKNV5NYC
74,Tim McGraw,0.58,0.491,0,-6.462,1,0.0251,0.575,0.0,0.121,0.425,76.009,232107,spotify:track:0Om9WAB5RS09L80DyOfTNa
75,Come In With The Rain (Taylor’s Version),0.476,0.564,2,-5.677,1,0.0269,0.0406,0.0,0.102,0.167,143.929,237339,spotify:track:1n2wszmJyVkw6FHqyLnQsY
76,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),0.606,0.377,0,-9.455,1,0.0275,0.817,0.0,0.154,0.446,101.96,258813,spotify:track:01K4zKU104LyJ8gMb7227B
77,Wonderland,0.422,0.692,3,-5.447,1,0.0549,0.0493,2.57e-05,0.177,0.197,184.014,245560,spotify:track:6iWMI5oOhWrDbLbjmwTWFq
78,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),0.391,0.715,0,-4.516,1,0.0495,0.167,0.0,0.183,0.473,149.654,285107,spotify:track:4CkgMiMqZ5JzW9iYXSTMTL
79,The Other Side Of The Door (Taylor’s Version),0.432,0.873,4,-4.367,1,0.0577,0.0279,0.0,0.167,0.629,163.936,238444,spotify:track:1cSFlSBdpT4F5vb1frQ231
80,Haunted,0.436,0.95,5,-2.627,1,0.057,0.0826,1.08e-06,0.149,0.352,162.088,242080,spotify:track:11UaQaEp2LvdspTyyuE3ur
81,You Are In Love,0.474,0.48,2,-8.894,1,0.0622,0.707,0.000108,0.0903,0.319,170.109,267107,spotify:track:4A2LfnduSTsE8u0ecYROxE
82,The Very First Night (Taylor's Version) (From The Vault),0.678,0.733,7,-5.025,1,0.0281,0.00115,0.0,0.104,0.581,121.009,200280,spotify:track:6pYNq0ZwpPVazKzsqpf0G8
